Gyógyszer neve;Hatóanyag;ATC-kód;Forgalomba hozatali eng. jogosultja;Nyilvántartási szám;Kiszerelés;Kiadhatóság;KP besorolás;Státusz;Engedélyezés dátuma;Törlés dátuma;
Calcarea sulfurica (Calcium sulfuricum dihydricum) golyócskák  (200CH);;;BOIRON;OGYI-HGAL-301C200;1 X 4 g multi dose;VN ;;TK;2000.01.01;..;
CALCETAT 475 mg filmtabletta;calcium acetate;V03AE07;PannonPharma Kft.;OGYI-T-20611;100 X   - buborékcsomagolásban, 200 X   - buborékcsomagolásban;V ;;TK;2008.08.01;..;
CALCICARB 700 mg tabletta;calcium carbonate;A12AA04;Parma Produkt Kft.;OGYI-T-09042;10 X   - buborékcsomagolásban;V  ;;TK;2003.09.22;..;
CALCICHEW-D3  500 mg/400 NE rágótabletta;calcium carbonate, cholecalciferol;A12AX;Cheplapharm Arzneimittel GmbH;OGYI-T-22251;100 X   - buborékcsomagolásban, 100 X   - HDPE tartályban, 120 X   - buborékcsomagolásban, 120 X   - HDPE tartályban, 168 X   - buborékcsomagolásban, 168 X   - HDPE tartályban, 180 X   - buborékcsomagolásban, 180 X   - HDPE tartályban, 20 X   - buborékcsomagolásban, 20 X   - HDPE tartályban, 30 X   - buborékcsomagolásban, 30 X   - HDPE tartályban, 50 X   - buborékcsomagolásban, 50 X   - HDPE tartályban, 50 X 1 - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - HDPE tartályban, 90 X   - buborékcsomagolásban, 90 X   - HDPE tartályban;VN ;;TK;2012.08.02;..;
CALCICHEW-D3 1000 mg/800 NE rágótabletta;calcium carbonate, cholecalciferol;A12AX;Cheplapharm Arzneimittel GmbH;OGYI-T-22251;112 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 140 X   - buborékcsomagolásban, 15 X   - HDPE tartályban, 168 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 30 X   - HDPE tartályban, 40 X   - HDPE tartályban, 50 X 1 - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - HDPE tartályban, 7 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - HDPE tartályban;VN ;;TK;2012.08.02;..;
CALCICHEW-D3 500 mg/200 NE rágótabletta;calcium carbonate, cholecalciferol;A12AX;Cheplapharm Arzneimittel GmbH;OGYI-T-08573;100 X   - HDPE tartályban, 20 X   - HDPE tartályban, 56 X   - HDPE tartályban, 60 X   - HDPE tartályban;VN  ;;TK;2002.09.12;..;
CALCIMUSC 100 mg/ml oldatos injekció;calcium gluconate;A12AA03;Richter Gedeon Nyrt.;OGYI-T-11244;10 X 5 ml ampulla;V  ;;TK;1933.01.01;..;
CALCISEDRON-D filmtabletta;alendronic acid, cholecalciferol, calcium carbonate;M05BB05;Richter Gedeon Nyrt.;OGYI-T-20189;28x+4 X   - buborékcsomagolásban, 84x+12 X   - buborékcsomagolásban;J ;;TT;2006.08.02;2024.09.12;
CALCISEDRON-D FORTE filmtabletta;alendronic acid, calcium carbonate, cholecalciferol;M05BB05;Richter Gedeon Nyrt.;OGYI-T-20189;28x+4 X   - buborékcsomagolásban, 84x+12 X   - buborékcsomagolásban;J ;;TT;2015.05.13;2024.09.12;
CALCISEDRON-D TRIO filmtabletta;alendronic acid, cholecalciferol, calcium carbonate;M05BB05;Richter Gedeon Nyrt.;OGYI-T-20189;56x+4 X   - buborékcsomagolásban;J ;;TT;2006.08.15;2024.09.12;
CALCIUM BÉRES 500 mg pezsgõtabletta;calcium;A12AA20;BÉRES Gyógyszergyár Zrt.;OGYI-T-22603;20 X   - tubusban;VN GYK;;TK;2014.01.17;..;
Calcium carbonicum Hahnemanni  (Conchae) golyócskák  (CH  4);;;BOIRON;OGYI-HGAL-29C4;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium carbonicum Hahnemanni  (Conchae) golyócskák  (CH  5);;;BOIRON;OGYI-HGAL-29C5;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium carbonicum Hahnemanni  (Conchae) golyócskák  (CH  6);;;BOIRON;OGYI-HGAL-29C6;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium carbonicum Hahnemanni  (Conchae) golyócskák  (CH  9);;;BOIRON;OGYI-HGAL-29C9;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium carbonicum Hahnemanni  (Conchae) golyócskák  (CH 12);;;BOIRON;OGYI-HGAL-29C12;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium carbonicum Hahnemanni  (Conchae) golyócskák  (CH 15);;;BOIRON;OGYI-HGAL-29C15;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium carbonicum Hahnemanni  (Conchae) golyócskák  (CH 30);;;BOIRON;OGYI-HGAL-29C30;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium carbonicum Hahnemanni  (Conchae) golyócskák  (CH200);;;BOIRON;OGYI-HGAL-29C200;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium carbonicum Hahnemanni (Conchae) golyócskák  (C   12);;;Remedia Homöopathie GmbH;OGYI-HGAL-26C12;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1994.01.01;..;
Calcium carbonicum Hahnemanni (Conchae) golyócskák  (C   15);;;Remedia Homöopathie GmbH;OGYI-HGAL-26C15;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1994.01.01;..;
Calcium carbonicum Hahnemanni (Conchae) golyócskák  (C   30);;;Remedia Homöopathie GmbH;OGYI-HGAL-26C30;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1994.01.01;..;
Calcium carbonicum Hahnemanni (Conchae) golyócskák  (C  200);;;Remedia Homöopathie GmbH;OGYI-HGAL-26C200;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1994.01.01;..;
Calcium carbonicum Hahnemanni (Conchae) golyócskák  (C1000);;;Remedia Homöopathie GmbH;OGYI-HGAL-26C1000;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1994.01.01;..;
Calcium carbonicum Hahnemanni (Conchae) golyócskák  (C10000);;;Remedia Homöopathie GmbH;OGYI-HGAL-26C10000;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1994.01.01;..;
Calcium fluoratum (Calcarea fluorica) golyócskák   (C  2);;;BOIRON;OGYI-HGAL-80C2;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium fluoratum (Calcarea fluorica) golyócskák   (C  5);;;BOIRON;OGYI-HGAL-80C5;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium fluoratum (Calcarea fluorica) golyócskák   (C  6);;;BOIRON;OGYI-HGAL-80C6;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium fluoratum (Calcarea fluorica) golyócskák   (C  9);;;BOIRON;OGYI-HGAL-80C9;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium fluoratum (Calcarea fluorica) golyócskák   (C 12);;;BOIRON;OGYI-HGAL-80C12;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium fluoratum (Calcarea fluorica) golyócskák   (C 15);;;BOIRON;OGYI-HGAL-80C15;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium fluoratum (Calcarea fluorica) golyócskák   (C 30);;;BOIRON;OGYI-HGAL-80C30;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium fluoratum (Calcarea fluorica) golyócskák   (C200);;;BOIRON;OGYI-HGAL-80C200;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Calcium fluoratum (Calcarea fluorica) golyócskák (C  12);;;Remedia Homöopathie GmbH;OGYI-HGAL-78C12;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1995.01.01;2020.12.31;
Calcium fluoratum (Calcarea fluorica) golyócskák (C  15);;;Remedia Homöopathie GmbH;OGYI-HGAL-78C15;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1995.01.01;2020.12.31;
Calcium fluoratum (Calcarea fluorica) golyócskák (C  30);;;Remedia Homöopathie GmbH;OGYI-HGAL-78C30;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1995.01.01;2020.12.31;
Calcium fluoratum (Calcarea fluorica) golyócskák (C 200);;;Remedia Homöopathie GmbH;OGYI-HGAL-78C200;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1995.01.01;2020.12.31;
Calcium fluoratum (Calcarea fluorica) golyócskák (C1000);;;Remedia Homöopathie GmbH;OGYI-HGAL-78C1000;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1995.01.01;2020.12.31;
Calcium fluoratum (Calcarea fluorica) golyócskák (C10000);;;Remedia Homöopathie GmbH;OGYI-HGAL-78C10000;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1995.01.01;2020.12.31;
Calcium fluoratum tabletta (Schüssler-féle só Nr.1) (D 6);;;Schwabe Austria GmbH;OGYI-HGAL-550D6;1 X 100 g HDPE tartályban, 1 X 20  g barna üvegpalackban, 200 X   - barna üvegpalackban;VN ;;TK;2004.07.01;..;
Calcium fluoratum tabletta (Schüssler-féle só Nr.1) (D12);;;Schwabe Austria GmbH;OGYI-HGAL-550D12;1 X 100 g HDPE tartályban, 1 X 20  g barna üvegpalackban, 200 X   - barna üvegpalackban;VN ;;TK;2004.07.01;..;
CALCIUM FOLINATE KABI 10 mg/ml oldatos injekció vagy infúzió;folinic acid;V03AF03;Fresenius Kabi Deutschland GmbH;OGYI-T-23234;1 X   - injekciós üvegben, 1 X   - injekciós üvegben, 1 X   - injekciós üvegben, 1 X   - injekciós üvegben, 1 X   - injekciós üvegben, 1 X   - injekciós üvegben, 10 X   - injekciós üvegben, 10 X   - injekciós üvegben, 10 X   - injekciós üvegben, 10 X   - injekciós üvegben, 10 X   - injekciós üvegben, 10 X   - injekciós üvegben, 5 X   - injekciós üvegben, 5 X   - injekciós üvegben, 5 X   - injekciós üvegben, 5 X   - injekciós üvegben, 5 X   - injekciós üvegben, 5 X   - injekciós üvegben;Sz ;;TK;2017.08.04;..;
CALCIUM FOLINATE KALCEKS 10 mg/ml oldatos injekció vagy infúzió;folinic acid;V03AF03;AS KALCEKS;OGYI-T-24326;1 X 10 ml injekciós üvegben, 1 X 100 ml injekciós üvegben, 1 X 20 ml injekciós üvegben, 1 X 30 ml injekciós üvegben, 1 X 5 ml injekciós üvegben, 1 X 50 ml injekciós üvegben, 10 X 10 ml injekciós üvegben, 10 X 100 ml injekciós üvegben, 10 X 20 ml injekciós üvegben, 10 X 30 ml injekciós üvegben, 10 X 5 ml injekciós üvegben, 10 X 50 ml injekciós üvegben, 5 X 5 ml injekciós üvegben;Sz ;;TK;2024.01.15;..;
CALCIUM GLUCONATE HAMELN 95 mg/ml oldatos injekció;calcium gluconate;B05BB01;Hameln Pharma GmbH;OGYI-T-23595;10 X 10 ml ampulla, 5 X 10 ml ampulla;V ;;TK;2019.09.30;..;
CALCIUM GLUCONATE S.MED 95 mg/ml oldatos injekció;calcium gluconate;B05BB01;Hameln Pharma Plus GmbH;OGYI-T-23595;; ;;ATT;2019.09.30;2020.03.20;
CALCIUM PHARMA PATENT 500 mg tabletta;calcium carbonate;A12AA04;Pharma Patent Kft.;OGYI-T-22556;100 X   - HDPE tartályban, 30 X   - HDPE tartályban, 60 X   - HDPE tartályban;VN GYK;;TK;2013.10.02;..;
CALCIUM PHARMAVIT 500 mg pezsgõtabletta;calcium carbonate;A12AA04;Walmark a.s.;OGYI-T-03782;20 X   - tubusban;VN GYK;;TK;1991.03.01;..;
Calcium phosphoricum golyócskák (C   12);;;Remedia Homöopathie GmbH;OGYI-HGAL-81C12;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1996.01.01;..;
Calcium phosphoricum golyócskák (C   15);;;Remedia Homöopathie GmbH;OGYI-HGAL-81C15;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1996.01.01;..;
Calcium phosphoricum golyócskák (C   30);;;Remedia Homöopathie GmbH;OGYI-HGAL-81C30;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1996.01.01;..;
Calcium phosphoricum golyócskák (C  200);;;Remedia Homöopathie GmbH;OGYI-HGAL-81C200;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1996.01.01;..;
Calcium phosphoricum golyócskák (C 1000);;;Remedia Homöopathie GmbH;OGYI-HGAL-81C1000;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1996.01.01;..;
Calcium phosphoricum golyócskák (C10000);;;Remedia Homöopathie GmbH;OGYI-HGAL-81C10000;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1996.01.01;..;
Calcium phosphoricum tabletta (Schüssler-féle só Nr.2) (D 6);;;Schwabe Austria GmbH;OGYI-HGAL-551D6;1 X 100 g HDPE tartályban, 1 X 20  g barna üvegpalackban, 200 X   - barna üvegpalackban;VN ;;TK;2004.07.01;..;
Calcium phosphoricum tabletta (Schüssler-féle só Nr.2) (D12);;;Schwabe Austria GmbH;OGYI-HGAL-551D12;1 X 100 g HDPE tartályban, 1 X 20  g barna üvegpalackban, 200 X   - barna üvegpalackban;VN ;;TK;2004.07.01;..;
Calcium sulfuricum tabletta (Schüssler-féle só Nr.12, Calcarea sulfurica) (D 6);;;Schwabe Austria GmbH;OGYI-HGAL-552D6;1 X 100 g HDPE tartályban, 1 X 20  g barna üvegpalackban, 200 X   - barna üvegpalackban;VN ;;TK;2004.07.01;..;
Calcium sulfuricum tabletta (Schüssler-féle só Nr.12, Calcarea sulfurica) (D12);;;Schwabe Austria GmbH;OGYI-HGAL-552D12;1 X 100 g HDPE tartályban, 1 X 20  g barna üvegpalackban, 200 X   - barna üvegpalackban;VN ;;TK;2004.07.01;..;
CALCIUM-D-SANDOZ 600 mg/400 NE pezsgõtabletta;calcium carbonate, cholecalciferol;A12AX;Sandoz Hungária Kft.;OGYI-T-08951;100 X   - PP tartályban, 20 X   - PP tartályban, 20 X   - szalagcsomagolásban, 40 X   - PP tartályban, 40 X   - szalagcsomagolásban, 60 X   - PP tartályban;VN  ;;TK;2003.07.03;..;
CALCIUM-SANDOZ pezsgõtabletta;calcium carbonate, calcium lactate gluconate;A12AA04 / A12AA06;Sandoz Hungária Kft.;OGYI-T-05254;10 X   - tubusban, 20 X   - tubusban;VN GYK;;TK;1996.10.08;..;
CALCIUM-SANDOZ+VITAMIN C 1000 mg pezsgõtabletta;calcium lactate gluconate, ascorbic acid, calcium carbonate;A11GB01;Sandoz Hungária Kft.;OGYI-T-05255;10 X   - tubusban;VN GYK;;TK;1996.10.08;..;
CALCIUM/CHOLECALCIFEROL BÉRES 600 mg/400 NE filmtabletta;calcium, cholecalciferol;A12AX;BÉRES Gyógyszergyár Zrt.;OGYI-T-21836;30 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;VN GYK;;TK;2011.09.16;..;
CALCIUM/CHOLECALCIFEROL BÉRES 600 mg/800 NE filmtabletta;calcium carbonate, cholecalciferol;A12AX;BÉRES Gyógyszergyár Zrt.;OGYI-T-23406;10 X   - buborékcsomagolásban, 100 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 20 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 40 X   - buborékcsomagolásban, 50 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 7 X   - buborékcsomagolásban, 70 X   - buborékcsomagolásban, 80 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban;VN GYK;;TK;2018.07.18;..;
CALCIVID BÉRES filmtabletta;cholecalciferol, calcium carbonate;A12AX;BÉRES Gyógyszergyár Zrt.;OGYI-T-20349;30 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;VN ;;TK;2007.05.16;..;
CALCIVID CITRÁT filmtabletta;cholecalciferol, calcium citrate;A12AX;BÉRES Gyógyszergyár Zrt.;OGYI-T-20779;30 X   - HDPE tartályban, 60 X   - HDPE tartályban, 90 X   - HDPE tartályban;VN ;;TK;2009.03.05;..;
CALCIVID EXTRA-D filmtabletta;calcium carbonate, cholecalciferol;A12AX;BÉRES Gyógyszergyár Zrt.;OGYI-T-09153;10 X   - buborékcsomagolásban, 100 X   - buborékcsomagolásban, 120 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 20 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 40 X   - buborékcsomagolásban, 50 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 7 X   - buborékcsomagolásban, 70 X   - buborékcsomagolásban, 80 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban;VN GYK;;TK;2015.02.05;..;
CALCIVID filmtabletta;cholecalciferol, calcium;A12AX;BÉRES Gyógyszergyár Zrt.;OGYI-T-09153;30 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban;VN ;;TK;2003.12.15;..;
Calendula officinalis (Calendula) golyócskák  (C   5);;;BOIRON;OGYI-HGAL-112C5;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Calendula officinalis (Calendula) golyócskák  (C   6);;;BOIRON;OGYI-HGAL-112C6;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Calendula officinalis (Calendula) golyócskák  (C   9);;;BOIRON;OGYI-HGAL-112C9;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Calendula officinalis (Calendula) golyócskák  (C  12);;;BOIRON;OGYI-HGAL-112C12;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Calendula officinalis (Calendula) golyócskák  (C  15);;;BOIRON;OGYI-HGAL-112C15;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Calendula officinalis (Calendula) golyócskák  (C  30);;;BOIRON;OGYI-HGAL-112C30;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Calendula officinalis (Calendula) golyócskák  (C 200);;;BOIRON;OGYI-HGAL-112C200;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Calmacare belsõleges oldat;chamomilla recutita for homeopathic preparations, Phytolacca americana, Rheum officinale;;BOIRON;OGYI-HGAL-174;10 X   - egyadagos tartályban, 20 X   - egyadagos tartályban, 30 X   - egyadagos tartályban;VN ;;TK;2019.06.20;..;
CALMOLAN 0,26 mg retard tabletta;pramipexole;N04BC05;G.L. Pharma GmbH;OGYI-T-22523;10 X   - buborékcsomagolásban, 100 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;V ;;TK;2013.07.30;..;
CALMOLAN 0,52 mg retard tabletta;pramipexole;N04BC05;G.L. Pharma GmbH;OGYI-T-22523;10 X   - buborékcsomagolásban, 100 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;V ;;TK;2013.07.30;..;
CALMOLAN 1,05 mg retard tabletta;pramipexole;N04BC05;G.L. Pharma GmbH;OGYI-T-22523;10 X   - buborékcsomagolásban, 100 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;V ;;TK;2013.07.30;..;
CALMOLAN 2,1 mg retard tabletta;pramipexole;N04BC05;G.L. Pharma GmbH;OGYI-T-22523;10 X   - buborékcsomagolásban, 100 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;V ;;TK;2013.07.30;..;
CALMOLAN 3,15 mg retard tabletta;pramipexole;N04BC05;G.L. Pharma GmbH;OGYI-T-22523;10 X   - buborékcsomagolásban, 100 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;V ;;TT;2013.07.30;2021.06.15;
Calquence 100 mg filmtabletta;acalabrutinib;L01EL02;AstraZeneca AB;EU/1/20/1479;56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;Sz  ;;CTK;2023.02.20;..;
Calquence 100 mg kemény kapszula;acalabrutinib;L01EL02;AstraZeneca AB;EU/1/20/1479;56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;Sz ;;CTK;2020.11.05;..;
CALUMID  50 mg filmtabletta;bicalutamide;L02BB03;Richter Gedeon Nyrt.;OGYI-T-09337;30 X   - buborékcsomagolásban;Sz  ;;TT;2004.04.08;2022.12.15;
CALUMID 150 mg filmtabletta;bicalutamide;L02BB03;Richter Gedeon Nyrt.;OGYI-T-09337;30 X   - átlátszó buborékcsomagolásban;Sz ;;TT;2007.09.28;2022.12.15;
CALVINIA 10 mg szájban diszpergálódó tabletta;rizatriptan;N02CC04;Richter Gedeon Nyrt.;OGYI-T-23512;6 X   - buborékcsomagolásban;V ;;TK;2019.03.26;..;
CALYPSOL 50 mg/ml oldatos injekció;ketamine;N01AX03;Richter Gedeon Nyrt.;OGYI-T-03609;5 X 10 ml injekciós üvegben;I KP;P2;TK;1982.01.01;..;
Camcevi 42 mg retard szuszpenziós injekció;leuprorelin;L02AE02;Accord Healthcare S.L.U.;EU/1/22/1647;1 X   - elõretöltött fecskendõben;Sz ;;CTK;2022.05.24;..;
CAMELOX  7,5 mg tabletta;meloxicam;M01AC06;PannonPharma Kft.;OGYI-T-10465;100 X   - átlátszatlan fehér buborékcsomagolásban, 14 X   - átlátszatlan fehér buborékcsomagolásban, 20 X   - átlátszatlan fehér buborékcsomagolásban, 50 X   - átlátszatlan fehér buborékcsomagolásban, 7 X   - átlátszatlan fehér buborékcsomagolásban;V ;;TK;2005.10.04;..;
CAMELOX 15 mg tabletta;meloxicam;M01AC06;PannonPharma Kft.;OGYI-T-10465;100 X   - átlátszatlan fehér buborékcsomagolásban, 14 X   - átlátszatlan fehér buborékcsomagolásban, 20 X   - átlátszatlan fehér buborékcsomagolásban, 50 X   - átlátszatlan fehér buborékcsomagolásban, 7 X   - átlátszatlan fehér buborékcsomagolásban;V ;;TK;2005.10.04;..;
CAMITOTIC 20 mg/ml koncentrátum oldatos infúzióhoz;docetaxel;L01CD02;Actavis Group PTC ehf.;OGYI-T-21532;1 X 1 ml injekciós üvegben, 1 X 4 ml injekciós üvegben, 1 X 7 ml injekciós üvegben, 1 X 8 ml injekciós üvegben;I ;;TT;2010.11.18;2021.05.25;
Camzyos  2,5 mg kemény kapszula;mavacamten;C01EB;Bristol-Myers Squibb Pharma EEIG;EU/1/23/1716;14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;Sz ;;CTK;2023.06.26;..;
Camzyos  5 mg kemény kapszula;mavacamten;C01EB;Bristol-Myers Squibb Pharma EEIG;EU/1/23/1716;14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;Sz ;;CTK;2023.06.26;..;
Camzyos 10 mg kemény kapszula;mavacamten;C01EB;Bristol-Myers Squibb Pharma EEIG;EU/1/23/1716;14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;Sz ;;CTK;2023.06.26;..;
Camzyos 15 mg kemény kapszula;mavacamten;C01EB;Bristol-Myers Squibb Pharma EEIG;EU/1/23/1716;14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;Sz ;;CTK;2023.06.26;..;
Cancidas 50 mg por oldatos infúzióhoz;caspofungin;J02AX04;Merck Sharp & Dohme Ltd;EU/1/01/196;;Sz ;;CTT;2001.10.24;2009.01.05;
Cancidas 50 mg por oldatos infúzióhoz való koncentrátumhoz;caspofungin;J02AX04;Merck Sharp & Dohme BV;EU/1/01/196;1 X 10 ml injekciós üvegben;I ;;CTK;2001.10.24;..;
Cancidas 70 mg por oldatos infúzióhoz való koncentrátumhoz;caspofungin;J02AX04;Merck Sharp & Dohme BV;EU/1/01/196;1 X 10 ml injekciós üvegben;I ;;CTK;2001.10.24;..;
CANDEZEK PLUS  8 mg/ 5 mg kemény kapszula;candesartan cilexetil, amlodipine;C09DB07;Adamed Pharma S. A.;OGYI-T-23045;100 X   - -, 14 X   - -, 28 X   - -, 30 X   - -, 56 X   - -, 60 X   - -, 90 X   - -, 98 X   - -;V ;;TT;2016.06.13;2023.11.16;
CANDEZEK PLUS  8 mg/10 mg kemény kapszula;candesartan cilexetil, amlodipine;C09DB07;Adamed Pharma S. A.;OGYI-T-23045;100 X   - -, 14 X   - -, 28 X   - -, 30 X   - -, 56 X   - -, 60 X   - -, 90 X   - -, 98 X   - -;V ;;TT;2016.06.13;2023.11.16;
CANDEZEK PLUS 16 mg/ 5 mg kemény kapszula;candesartan cilexetil, amlodipine;C09DB07;Adamed Pharma S. A.;OGYI-T-23045;100 X   - -, 14 X   - -, 28 X   - -, 30 X   - -, 56 X   - -, 60 X   - -, 90 X   - -, 98 X   - -;V ;;TT;2016.06.13;2023.11.16;
CANDEZEK PLUS 16 mg/10 mg kemény kapszula;candesartan cilexetil, amlodipine;C09DB07;Adamed Pharma S. A.;OGYI-T-23045;100 X   - -, 14 X   - -, 28 X   - -, 30 X   - -, 56 X   - -, 60 X   - -, 90 X   - -, 98 X   - -;V ;;TT;2016.06.13;2023.11.16;
CANDIBENE-TEVA 200 mg hüvelytabletta;clotrimazole;G01AF02;Teva Gyógyszergyár Zrt.;OGYI-T-09719;3 X   - buborékcsomagolásban;VN  ;;TT;2004.07.27;2021.06.21;
CANDISYST 150 mg kemény kapszula;fluconazole;J02AC01;Goodwill Pharma Kft.;OGYI-T-20756;1 X   - buborékcsomagolásban, 2 X   - buborékcsomagolásban, 4 X   - buborékcsomagolásban;V ;;TK;2009.02.18;..;
CANEPHRON bevont tabletta;centaury, Lovage root, Rosemary leaf;G04BX;Bionorica SE;OGYI-TN-08;120 X   - buborékcsomagolásban, 200 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;VN ;;TK;2010.05.06;..;
CANEPHRON FORTE bevont tabletta;Lovage root, Rosemary leaf, centaury;G04BX;Bionorica SE;OGYI-TN-08;30 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban;VN ;;TK;2018.01.11;..;
CANESPRO kenõcs;bifonazole, urea;D01AC60;Bayer Hungária Kft.;OGYI-T-06804;1 X 10 g Al tubusban;VN  ;;TK;1999.01.01;..;
CANESTEN 10 mg/g krém;clotrimazole;D01AC01;Bayer Hungária Kft.;OGYI-T-08110;1 X 20 g Al tubusban, 1 X 30 g Al tubusban;VN ;;TK;2001.07.25;..;
CANESTEN 10 mg/ml külsõleges oldat;clotrimazole;D01AC01;Bayer Hungária Kft.;OGYI-T-08110;1 X 20 ml mûanyag tartályban;VN  ;;TK;2001.07.25;..;
